,CustomerID,Recency,Frequency,Monatery
0,12374,4042,33,742.9300000000001
1,12383,4255,11,142.16
2,12395,4048,13,243.47
3,12401,4320,5,84.3
4,12406,4039,56,1794.05
5,12407,4281,15,226.3
6,12415,4054,2,685.44
7,12421,4190,14,239.35
8,12428,4260,21,373.72
9,12434,4277,16,286.25
10,12437,4095,18,370.31
11,12450,4173,2,96.0
12,12457,4083,1,196.35
13,12464,4217,2,34.0
14,12471,4040,59,2556.37
15,12474,4189,24,427.76
16,12483,4115,25,629.4
17,12484,4120,122,1246.49
18,12492,4122,9,126.39000000000001
19,12494,4057,15,214.74
20,12500,4123,5,378.0
21,12526,4071,29,519.28
22,12552,4056,1,120.0
23,12553,4221,19,352.85
24,12567,4039,144,3078.2200000000003
25,12583,4075,26,1027.05
26,12619,4033,17,398.7
27,12621,4193,1,49.800000000000004
28,12646,4022,21,615.28
29,12670,4027,14,696.12
30,12678,4095,11,548.24
31,12683,4110,23,404.31
32,12684,4187,14,462.38
33,12688,4131,171,4873.8099999999995
34,12705,4094,38,842.62
35,12708,4347,19,284.62
36,12712,4348,11,250.65
37,12720,4070,9,163.1
38,12731,4381,16,1071.9
39,12748,4046,138,1223.94
40,12755,4297,3,17.549999999999997
41,12757,4081,182,1578.8700000000001
42,12778,4036,8,158.24
43,12779,4344,25,613.22
44,12783,4019,17,400.58
45,12785,4381,14,311.95
46,12793,4388,7,131.8
47,12811,4278,1,27.0
48,12826,4020,16,297.6
49,12841,4354,28,224.11
50,12877,4041,65,358.90000000000003
51,12890,4041,82,380.46999999999997
52,12913,4021,13,535.1
53,12921,4301,57,948.25
54,12935,4019,46,763.1
55,12955,4236,10,206.6
56,12971,4185,3,60.9
57,12985,4018,24,485.0
58,12989,4344,1,810.0
59,12995,4102,3,211.32
60,12997,4253,18,302.92
61,12999,4222,4,59.099999999999994
62,13014,4237,15,494.84999999999997
63,13018,4305,19,311.25
64,13047,4391,1,17.85
65,13050,4372,16,269.5
66,13068,4027,1,179.0
67,13075,4147,22,919.61
68,13078,4197,16,302.24
69,13081,4028,63,2123.92
70,13089,4088,71,2586.7400000000002
71,13090,4256,22,1062.86
72,13092,4294,6,110.2
73,13094,4173,3,223.68
74,13102,4018,7,194.07
75,13113,4209,9,792.5
76,13134,4257,24,500.2
77,13178,4053,15,262.26
78,13225,4355,8,1263.72
79,13246,4193,15,212.47
80,13263,4033,66,346.43
81,13266,4060,20,382.34000000000003
82,13268,4034,37,302.21999999999997
83,13269,4196,19,312.44
84,13276,4080,23,453.55
85,13283,4202,2,25.5
86,13317,4083,58,991.95
87,13319,4287,3,52.199999999999996
88,13320,4231,12,188.8
89,13323,4049,3,97.7
90,13324,4378,5,650.1
91,13325,4099,12,675.3
92,13327,4382,18,685.0
93,13332,4031,21,350.9
94,13345,4305,20,389.5
95,13363,4061,39,603.82
96,13364,4088,10,134.95999999999998
97,13368,4274,28,588.0
98,13376,4221,18,394.0
99,13408,4047,54,2727.66
100,13416,4061,8,437.5
101,13418,4390,1,12.600000000000001
102,13425,4312,27,401.57
103,13468,4109,22,348.92
104,13491,4297,23,302.57
105,13496,4377,26,501.01
106,13509,4069,8,176.6
107,13510,4018,21,341.86
108,13516,4038,6,769.0
109,13534,4152,18,307.35
110,13536,4036,23,492.94
111,13558,4022,36,122.67999999999999
112,13577,4259,20,356.75
113,13588,4154,38,491.0
114,13590,4068,21,552.4
115,13591,4081,20,340.9
116,13631,4117,1,52.5
117,13637,4069,8,125.65
118,13668,4274,20,173.77
119,13689,4080,6,910.0
120,13694,4237,27,2021.15
121,13700,4043,79,1000.71
122,13709,4119,39,612.09
