rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,churn,months,uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
24,219,22,0,0,0,0,0,0,-157,-19,1,0,1,0,6,0,52,0,42,0,45,0,0,0,0,18,0,91,0,97,0,0,0,0,58,0,133,0,24,0,55,0,1,52,45,0,0,1,61,2,1,U,A,N,1652,4228,1505,1453,4085,1602,30,83,33,272,116,30,322,136,38,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,150,2,2,WCMB,0,0,O,15,S,S,1,M,4,3,C,A,0,N,U,U,U,U,U,Y,361,1000001
55,570,72,0,0,0,0,0,0,38,0,10,0,1,0,77,0,222,0,95,0,137,0,9,15,11,66,0,285,0,106,15,11,1,0,97,0,173,0,90,0,218,0,10,222,137,0,0,0,57,1,1,Y,A,N,4485,14028,2181,2166,13965,4452,39,249,80,558,191,55,586,196,80,U,NEW ENGLAND AREA,Y,N,150,6,4,WCMB,0,0,R,5,M,S,1,M,6,1,C,O,0,I,U,U,U,U,U,Y,434,1000005
32,26,30,0,0,0,0,0,0,60,4,0,0,1,0,2,0,7,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,2,0,2,0,1,7,3,0,0,0,57,2,2,N,A,N,391,994,1458,1458,976,377,26,18,7,6,3,30,54,7,34,C,DALLAS AREA,Y,N,80,2,2,WCMB,0,0,O,8,S,M,2,M,9,2,I,A,1,N,U,U,U,U,U,Y,601,1000010
213,1972,85,2,250,100,100,0,36,-200,-107,9,0,0,0,44,0,345,0,271,0,296,0,0,3,3,126,0,581,0,718,49,35,5,9,352,0,864,0,129,0,435,0,9,345,296,0,1,0,59,5,1,Y,C,N,33184,69161,6617,6573,69104,33139,115,1212,581,2038,637,248,1817,576,182,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,150,10,6,WCMB,0,0,O,11,S,S,3,M,3,2,I,A,0,N,U,U,Y,U,U,Y,199,1000015
63,440,60,0,6,2,2,0,1,-16,0,5,0,0,0,17,0,138,0,53,0,118,0,4,11,8,22,0,225,0,94,0,0,0,0,141,0,269,0,14,0,50,0,5,138,118,0,2,0,57,1,1,N,B,N,4078,11330,1739,1723,11316,4067,51,333,120,446,193,63,429,183,64,T,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,30,3,2,WCMB,0,0,O,3,S,U,2,M,3,1,C,A,0,N,U,U,U,U,U,Y,530,1000017
55,1213,50,1,0,0,0,0,1,169,1,3,0,6,0,44,0,225,0,122,0,174,0,4,10,8,43,0,457,0,490,51,50,8,18,189,0,593,0,105,0,354,0,9,225,174,0,4,0,52,1,1,N,A,N,8468,23835,1936,1914,23524,8378,48,588,209,1156,254,55,1031,248,55,S,DALLAS AREA,Y,N,30,4,4,WC,0,0,O,10,S,B,1,M,3,1,C,A,0,N,U,U,U,U,U,Y,408,1000019
51,162,70,0,2,1,0,1,0,-58,-1,2,0,0,0,9,0,61,1,14,0,50,1,0,0,0,7,0,65,2,38,34,17,6,12,19,0,37,0,42,1,66,2,2,62,51,0,0,0,56,1,1,Y,B,N,1319,4531,1348,1276,4504,1306,42,150,44,181,63,51,240,62,51,U,CHICAGO AREA,Y,N,130,4,3,WCMB,0,0,R,15,S,S,4,M,1,2,C,A,0,S,U,U,Y,Y,Y,N,253,1000020
172,1978,100,0,362,72,72,0,0,-1007,-72,7,0,18,0,114,0,760,0,158,0,622,0,0,1,1,69,1,1398,0,515,23,22,3,8,718,0,1797,0,60,0,116,0,25,760,622,0,20,1,58,2,1,U,A,N,28477,79406,6752,6472,78927,28359,116,1409,506,2314,862,197,2192,810,163,U,TENNESSEE AREA,Y,N,150,4,3,WCMB,1,1,O,7,S,U,2,M,6,1,C,A,0,Z,U,U,U,U,U,Y,143,1000021
51,382,49,2,1,0,0,0,0,227,3,20,0,4,0,35,0,176,0,84,0,125,0,1,1,0,47,0,151,0,104,5,6,0,0,111,0,135,0,72,0,120,0,23,176,125,0,4,1,52,1,1,Y,B,N,13600,30020,3513,3410,29860,13535,71,622,282,307,174,50,352,218,50,S,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,30,3,2,WC,0,0,O,1,M,M,2,M,9,1,C,C,0,N,U,U,U,U,Y,Y,265,1000027
30,156,30,0,0,0,0,0,0,94,0,2,0,2,0,3,0,71,0,12,0,64,0,0,0,0,7,0,81,0,14,5,6,4,3,62,0,84,0,15,0,11,0,4,71,64,0,0,0,56,2,2,Y,A,N,2139,3827,1518,1518,3827,2139,29,72,40,124,78,30,103,63,30,T,MIDWEST AREA,Y,N,150,5,3,WCMB,1,0,O,2,S,M,2,M,9,2,C,A,0,N,U,U,Y,U,U,Y,630,1000037
33,196,30,0,0,0,0,0,3,54,9,7,0,0,0,6,0,33,0,43,0,26,0,0,0,0,20,1,39,0,74,10,9,6,9,38,0,74,0,19,0,40,0,7,34,26,0,0,1,54,2,1,Y,A,N,3599,5970,1591,1366,5894,3545,26,113,68,177,86,31,167,93,31,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,R,30,4,3,WCMB,1,1,O,14,S,M,3,M,9,2,C,A,0,J,U,U,U,Y,U,Y,179,1000040
82,660,50,0,101,30,30,0,2,-184,-32,3,0,2,0,10,0,127,0,95,0,113,0,0,0,0,38,0,182,0,377,68,87,1,5,162,0,475,0,32,0,84,0,5,127,113,0,3,0,57,3,3,U,A,N,5676,13430,2741,2710,13403,5660,48,239,101,721,258,93,621,243,79,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,200,3,3,WCMB,1,1,O,7,S,M,4,M,8,1,C,A,0,N,U,U,U,Y,U,Y,107,1000041
78,852,85,0,0,0,0,0,0,-206,0,11,0,6,0,47,0,194,0,145,0,138,0,1,19,18,56,0,227,0,305,55,22,30,50,201,0,366,0,74,0,166,0,17,194,138,0,6,1,53,5,4,N,A,N,14937,32772,3188,3127,32612,14853,63,652,297,920,337,78,814,326,93,T,CENTRAL/SOUTH TEXAS AREA,N,R,10,8,3,WCMB,0,0,O,8,S,M,6,M,5,3,I,A,0,H,U,U,U,U,U,Y,151,1000048
107,782,25,0,233,86,86,0,0,-258,-80,1,0,1,0,3,0,21,0,168,0,17,0,0,4,4,40,0,42,0,787,1,1,0,0,64,0,243,0,119,0,585,0,2,21,17,0,3,1,55,1,1,Y,B,N,5104,9615,1803,1779,9584,5087,35,188,100,868,276,134,476,164,86,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,150,5,4,WCMB,1,0,O,15,S,M,2,M,7,1,C,A,0,N,U,Y,Y,Y,Y,Y,162,1000049
30,24,30,0,0,0,0,0,0,25,0,0,0,0,0,2,0,11,0,0,0,9,0,1,11,11,0,0,24,0,0,4,7,0,0,4,0,16,0,5,0,9,0,0,11,9,0,0,1,51,1,1,N,A,N,5742,19818,2870,2756,19477,5614,56,398,115,15,7,31,8,4,33,S,TENNESSEE AREA,Y,N,30,3,2,WC,0,0,O,15,S,M,3,M,3,2,C,A,1,I,U,U,U,U,U,Y,985,1000051
76,242,75,0,0,0,0,0,0,-20,-1,5,0,0,0,7,0,40,0,13,0,30,0,0,0,0,4,0,144,0,36,5,4,3,16,27,0,124,0,14,0,55,0,5,40,30,0,0,1,50,1,1,N,A,N,3931,16488,2955,2832,16411,3887,58,335,79,248,49,76,256,50,76,U,DALLAS AREA,Y,R,100,4,3,WCMB,1,1,O,15,S,M,4,M,6,2,C,A,1,N,U,U,U,U,U,Y,226,1000072
55,1088,70,0,13,5,5,0,0,109,16,5,0,1,0,20,0,110,0,52,0,88,0,4,4,3,16,1,625,0,335,11,16,6,22,55,0,283,0,74,0,677,0,6,110,88,0,0,0,54,2,2,U,A,N,9288,33739,3064,2992,33656,9237,56,635,174,1051,129,50,853,119,51,T,TENNESSEE AREA,Y,N,150,7,4,WCMB,0,0,O,15,S,M,3,M,7,1,C,A,1,U,U,U,U,U,U,Y,233,1000084
93,1348,75,0,5,2,0,2,2,-165,25,7,0,7,0,69,0,398,1,172,0,318,1,0,0,0,72,0,556,6,437,59,44,23,91,454,1,944,6,32,0,49,0,15,399,318,0,10,0,56,1,1,N,A,N,23248,56408,4933,4604,56000,23081,87,1057,436,1403,615,85,1382,626,81,T,CENTRAL/SOUTH TEXAS AREA,T,N,200,8,6,WCMB,1,1,O,4,S,M,2,M,7,2,C,A,0,S,U,U,U,U,U,Y,10,1000085
98,1804,75,2,85,8,8,0,0,-343,21,13,0,11,0,69,0,448,0,334,0,359,0,0,0,0,107,0,430,0,742,133,139,32,80,584,0,1000,0,105,0,172,0,24,448,359,0,28,0,50,1,1,Y,B,N,48462,87509,4948,4695,87509,48462,96,1786,989,1918,1067,90,1897,1040,94,C,TENNESSEE AREA,N,N,400,13,6,WCMB,0,0,O,1,S,U,3,M,4,2,G,A,0,N,U,U,U,U,U,Y,175,1000086
80,828,75,0,0,0,0,0,2,299,-1,10,0,4,0,33,0,220,0,99,0,176,0,0,0,0,45,0,285,0,177,36,30,14,27,250,0,428,0,22,0,33,0,14,220,176,0,6,0,50,1,1,Y,A,N,26957,47486,4001,3909,47445,26934,80,968,550,728,358,80,1003,560,79,S,MIDWEST AREA,Y,R,30,5,4,WCMB,1,0,O,7,S,S,6,M,2,1,C,A,0,S,U,U,U,U,U,Y,350,1000089
30,150,30,0,0,0,0,0,0,28,0,1,0,3,0,13,1,92,1,2,0,76,0,0,0,0,1,0,80,0,4,2,2,0,0,46,0,67,0,31,0,17,0,3,92,76,0,0,1,56,1,1,N,B,N,1693,4909,1403,1357,4835,1671,31,110,38,140,73,30,125,66,30,S,MIDWEST AREA,Y,N,150,3,2,WCMB,1,0,O,10,M,M,4,M,5,2,C,B,0,N,U,U,U,U,U,Y,129,1000090
35,148,45,0,0,0,0,0,0,-86,0,2,0,3,0,11,0,69,0,14,0,53,0,0,0,0,5,0,70,0,39,7,4,3,13,46,0,74,0,21,0,34,0,5,69,53,0,0,0,50,1,1,N,C,N,8530,14851,2629,2548,14450,8345,53,301,174,177,79,36,172,79,36,S,MIDWEST AREA,N,R,40,3,2,WC,0,0,O,7,S,U,3,M,6,2,I,A,0,S,U,U,U,U,U,Y,331,1000091
73,1306,78,0,0,0,0,0,0,-462,-76,2,0,1,0,10,0,122,2,74,0,109,2,2,7,5,25,0,442,2,809,25,17,0,0,76,0,327,0,106,2,924,2,3,124,111,0,5,0,52,2,2,N,BA,N,23298,88248,5455,5312,87209,22641,108,1780,462,1460,168,98,1719,178,94,S,MIDWEST AREA,N,R,80,9,6,WCMB,0,0,O,1,S,S,1,M,7,1,C,A,0,O,U,U,U,U,U,Y,146,1000093
50,820,60,0,2,0,0,0,0,26,0,2,0,11,0,33,0,158,0,35,0,113,0,7,7,4,12,0,483,0,139,18,16,2,5,100,0,408,0,47,0,214,0,13,158,113,0,4,0,56,1,1,N,A,N,12808,43342,4415,4331,43025,12704,79,782,231,812,157,50,847,177,50,T,TENNESSEE AREA,Y,N,150,3,3,WCMB,1,0,O,9,M,M,3,M,7,1,C,A,1,S,U,U,U,Y,Y,Y,451,1000095
103,1376,85,1,38,15,15,0,8,355,53,6,0,7,0,53,1,338,1,64,0,274,0,3,4,2,28,0,812,0,188,30,48,5,42,211,0,564,0,125,0,437,0,13,339,274,0,2,0,56,2,1,N,A,N,13174,39348,4985,4870,38608,12942,90,715,240,1258,333,86,1500,427,137,S,CENTRAL/SOUTH TEXAS AREA,Y,N,80,2,2,WCMB,0,0,O,4,S,M,1,M,4,2,C,A,0,N,U,U,U,Y,Y,Y,652,1000099
72,538,75,0,0,0,0,0,0,58,-1,6,0,3,0,13,0,117,0,40,0,97,0,0,0,0,14,0,190,0,100,31,35,7,16,113,0,253,0,21,0,37,0,9,117,97,0,4,0,54,3,2,Y,A,N,13749,46945,4414,4308,46806,13693,81,883,258,518,185,72,604,204,79,R,CENTRAL/SOUTH TEXAS AREA,Y,N,150,4,3,WCMB,1,1,O,4,S,M,2,M,7,1,I,A,0,O,U,U,U,Y,Y,Y,161,1000100
114,1650,83,2,52,15,2,13,0,-177,18,4,0,5,0,23,0,380,24,120,0,351,23,0,0,0,36,0,650,25,363,90,53,34,113,412,20,904,23,57,3,109,2,9,404,374,0,21,0,50,6,4,N,A,N,25904,73379,4753,4668,73368,25898,95,1497,528,1709,687,108,1563,626,99,C,CENTRAL/SOUTH TEXAS AREA,Y,R,80,4,4,WCMB,0,0,O,3,S,S,2,M,4,1,C,A,0,U,U,U,U,U,U,Y,306,1000102
95,1656,75,2,26,3,3,0,0,-52,-7,11,0,10,0,129,0,624,0,110,0,475,0,9,10,5,49,0,876,0,198,43,40,0,0,517,0,968,0,66,0,106,0,21,624,475,0,5,1,52,1,1,N,D,N,30811,67742,4812,4661,66573,30278,93,1332,606,1673,750,97,1724,782,99,R,DALLAS AREA,N,N,80,11,5,WC,1,0,O,15,S,M,3,M,9,1,C,A,0,J,U,U,U,Y,Y,Y,314,1000110
35,294,33,0,4,2,2,0,0,78,4,2,0,3,0,55,0,136,0,54,0,78,0,1,3,2,25,0,120,0,88,5,2,0,0,86,0,148,0,43,0,60,0,5,136,78,0,0,1,52,1,1,Y,G,N,6417,13275,1347,1319,13126,6327,33,328,158,269,150,34,278,154,36,T,HOUSTON AREA,N,N,30,2,2,WC,0,0,O,1,S,U,2,M,5,1,C,A,0,H,U,U,U,U,U,Y,765,1000112
91,1229,70,2,103,21,21,0,0,-254,-18,8,0,1,0,24,0,272,0,291,0,242,0,0,0,0,140,0,305,0,517,101,105,16,18,408,0,698,0,74,0,124,0,9,272,242,0,11,1,50,3,3,N,A,N,21647,38143,3585,3530,38013,21573,74,792,449,1314,720,97,1202,670,91,S,SOUTHWEST AREA,Y,R,100,5,4,WCMB,1,0,O,4,S,M,2,M,8,1,C,A,0,G,U,U,U,Y,U,Y,263,1000114
114,1807,85,2,102,10,10,0,1,-373,-16,4,0,19,0,70,0,447,0,236,0,356,0,0,0,0,96,0,727,0,658,37,38,48,146,518,0,1235,0,73,0,150,0,23,447,356,0,6,0,52,2,1,N,A,N,39755,95177,5793,5728,94228,39292,115,1885,786,1932,799,119,1924,794,119,S,CENTRAL/SOUTH TEXAS AREA,Y,R,80,9,4,WCMB,1,0,O,8,S,M,1,M,7,1,C,A,0,N,U,U,U,U,U,Y,387,1000115
18,8,17,0,4,1,1,0,0,-8,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,50,1,1,Y,A,N,239,765,1026,986,763,237,21,16,5,11,1,19,6,1,18,C,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,150,2,2,WCMB,0,0,O,7,S,S,3,M,1,1,C,C,0,S,U,U,U,U,U,Y,206,1000120
160,2256,83,3,666,67,67,0,1,-2239,-77,11,0,13,0,83,0,475,0,321,0,373,0,0,0,0,176,0,949,0,753,120,202,98,266,450,0,1056,0,240,0,646,0,24,475,373,0,64,1,54,2,2,Y,B,N,46979,121258,6770,6598,120228,46638,129,2357,914,3002,1065,185,3149,1141,182,C,CENTRAL/SOUTH TEXAS AREA,Y,N,200,12,10,WCMB,1,0,O,3,S,S,2,M,3,1,C,A,0,H,U,U,U,U,U,Y,318,1000124
