datetime,temperature,var1,pressure,windspeed,electricity_consumption
2013-07-01 00:00:00,-11.4,-17.1,1003,571.91,216
2013-07-01 01:00:00,-12.1,-19.3,996,575.04,210
2013-07-01 02:00:00,-12.9,-20,1000,578.435,225
2013-07-01 03:00:00,-11.4,-17.1,995,582.58,216
2013-07-01 04:00:00,-11.4,-19.3,1005,586.6,222
2013-07-01 05:00:00,-10.7,-19.3,1013,2.79,216
2013-07-01 06:00:00,-13.6,-17.1,1006,4.38,219
2013-07-01 07:00:00,-11.4,-17.9,997,7.635,222
2013-07-01 08:00:00,-10.7,-18.6,1012,12.055,219
2013-07-01 09:00:00,-10,-16.4,1002,17.975,222
2013-07-01 10:00:00,-7.1,-17.1,1008,23.035,201
2013-07-01 11:00:00,-7.9,-17.9,1003,28.205,204
2013-07-01 12:00:00,-5.7,-15,998,31.725,210
2013-07-01 13:00:00,-6.4,-14.3,1008,35.62,216
2013-07-01 14:00:00,-3.6,-15,999,40.915,216
2013-07-01 15:00:00,-5,-14.3,997,44.56,216
2013-07-01 16:00:00,-4.3,-16.4,1009,48.44,213
2013-07-01 17:00:00,-7.1,-18.6,1003,50.355,198
2013-07-01 18:00:00,-7.1,-16.4,1007,53.235,198
2013-07-01 19:00:00,-6.4,-16.4,996,56.365,213
2013-07-01 20:00:00,-7.9,-17.1,997,59.87,216
2013-07-01 21:00:00,-6.4,-15.7,996,63.515,222
2013-07-01 22:00:00,-9.3,-15.7,1015,67.41,210
2013-07-01 23:00:00,-10,-16.4,1012,72.08,216
2013-07-02 00:00:00,-8.6,-14.3,1003,76.35,210
2013-07-02 01:00:00,-7.9,-17.1,1011,5.77,231
2013-07-02 02:00:00,-8.6,-14.3,1000,10.065,210
2013-07-02 03:00:00,-10.7,-15.7,997,5.52,213
2013-07-02 04:00:00,-10.7,-14.3,1016,4.77,204
2013-07-02 05:00:00,-8.6,-16.4,1015,9.665,222
2013-07-02 06:00:00,-8.6,-17.9,1015,6.17,210
2013-07-02 07:00:00,-10,-17.9,1003,5.27,210
2013-07-02 08:00:00,-10,-17.1,1017,10.44,198
2013-07-02 09:00:00,-7.9,-17.9,1011,14.335,204
2013-07-02 10:00:00,-7.1,-17.9,1005,18.23,225
2013-07-02 11:00:00,-7.1,-13.6,1009,22.625,213
