,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,pca0,pca1
354,824,0,77,3,27517.15,2,0,1,2746.41,0,-56380.60375447167,93246.90919184838
6275,661,1,41,5,28082.95,1,1,0,69586.27,1,-50625.70580846025,26652.85373303512
6361,702,1,35,8,14262.8,2,1,0,54689.16,0,-65561.0319550014,40431.69468145476
6372,707,0,42,2,16893.59,1,1,1,77502.56,0,-61166.49003915118,17891.5022184327
6381,644,1,46,6,12459.19,1,0,0,156787.34,1,-59430.212590208685,-61498.2050039705
6382,753,1,40,0,3768.69,2,1,0,177065.24,1,-66519.67588796727,-82389.77029203471
6383,625,0,31,5,0.0,2,0,1,90.07,0,-84020.94291981676,93758.2338581213
6384,710,0,38,2,0.0,2,1,0,96.27,0,-84020.46058229762,93752.05286933793
6385,629,0,40,9,0.0,1,1,0,106.67,0,-84019.65367705023,93741.68401940177
6386,718,0,37,8,0.0,2,1,1,142.81,0,-84016.84620037806,93705.65344743885
6387,811,1,35,7,0.0,1,1,1,178.19,0,-84014.09769723851,93670.38059540273
6388,551,1,38,10,0.0,2,1,1,216.27,0,-84011.14285543865,93632.41477060864
6389,530,0,37,8,0.0,2,1,1,287.99,0,-84005.57325685884,93560.91130593789
6390,715,1,38,0,0.0,2,1,1,332.81,0,-84002.09074920492,93516.22726721143
6391,556,0,38,8,0.0,2,0,0,417.41,1,-83995.52219830795,93431.8822558654
6392,736,1,63,10,0.0,2,0,1,502.7,0,-83988.89671754111,93346.85046322597
6393,572,1,39,2,0.0,2,1,1,555.28,0,-83984.81500357564,93294.42869668997
6394,624,1,34,6,0.0,1,1,0,582.59,1,-83982.69362560206,93267.20133311345
6395,521,0,39,7,0.0,2,0,1,653.58,0,-83977.18147684321,93196.42540926547
6396,605,1,36,6,0.0,1,0,1,690.84,0,-83974.28706251897,93159.27820442745
6397,850,1,70,5,0.0,1,1,1,705.18,0,-83973.17092219903,93144.98235952487
6398,682,1,58,1,0.0,1,1,1,706.5,0,-83973.07006323262,93143.6657875328
6399,697,0,30,1,0.0,2,0,0,735.79,0,-83970.79538094049,93114.4642458461
6400,668,0,32,7,0.0,2,1,1,777.37,0,-83967.56653279735,93073.00973063089
6401,542,0,37,8,0.0,1,1,1,807.06,0,-83965.26197007652,93043.40900236943
6402,570,1,46,3,0.0,2,0,0,820.46,0,-83964.22101270228,93030.04957925831
6403,651,0,28,7,0.0,2,1,0,823.96,0,-83963.94851635808,93026.56037670796
6404,753,1,50,4,0.0,2,1,1,861.4,0,-83961.03983734136,92989.2338175102
6405,416,0,32,0,0.0,2,0,1,878.87,0,-83959.68639963515,92971.8154675203
6406,763,0,37,8,0.0,2,1,1,933.38,0,-83955.4498110749,92917.47121399122
6407,652,1,74,5,0.0,2,1,1,937.15,0,-83955.15791430304,92913.71230935206
6408,850,0,55,6,0.0,1,1,0,944.41,1,-83954.59230058159,92906.47483792836
6409,650,1,27,6,0.0,2,1,0,1002.39,0,-83950.09158974806,92848.66925343743
6410,559,1,27,1,0.0,1,0,1,1050.33,0,-83946.36941208449,92800.87374881883
6411,850,1,40,0,0.0,2,1,0,1099.95,0,-83942.51307641076,92751.40456453286
6412,773,0,33,9,0.0,2,1,1,1118.31,0,-83941.08800228823,92733.09975082008
6413,697,1,42,1,0.0,1,1,0,1262.83,1,-83929.8651988076,92589.01599509416
6414,733,1,38,5,0.0,2,1,1,1271.51,0,-83929.19078855764,92580.36231632864
6415,656,1,75,3,0.0,2,1,1,1276.87,0,-83928.77508862378,92575.01832248796
6416,552,1,34,5,0.0,2,1,1,1351.41,0,-83922.98746616396,92500.70303640411
6417,737,0,45,10,0.0,2,1,0,1364.54,0,-83921.96597594778,92487.61330161469
6418,538,0,31,1,0.0,2,1,0,1375.46,0,-83921.1198790708,92476.72562203826
6419,730,0,33,0,0.0,2,1,0,1474.79,0,-83913.40403689952,92377.6962316539
6420,656,0,35,6,0.0,2,1,0,1485.27,0,-83912.59085447007,92367.24764584177
6421,646,0,38,7,0.0,2,1,0,1528.4,0,-83909.24144435102,92324.24787662408
6422,686,0,26,7,0.0,2,1,0,1540.89,0,-83908.27114140091,92311.79570548452
6423,596,0,29,2,0.0,2,1,1,1591.19,0,-83904.36566470892,92261.64733648114
6424,511,1,66,4,0.0,1,1,0,1643.11,1,-83900.3341725409,92209.88393253216
6425,712,1,32,1,0.0,2,1,0,1703.58,0,-83895.63629680008,92149.59714653133
6426,833,1,39,3,0.0,2,1,0,1710.89,0,-83895.06741628652,92142.3096234799
6427,472,1,28,4,0.0,2,1,0,1801.77,0,-83888.0131293781,92051.70291398374
6428,493,1,46,4,0.0,2,1,0,1907.66,0,-83879.78938886199,91946.13281412063
6429,463,1,35,2,0.0,2,1,1,1950.93,0,-83876.42936026059,91902.9933804833
6430,649,0,33,2,0.0,2,1,0,2010.98,0,-83871.76409361769,91843.12533279342
6431,682,0,30,9,0.0,2,1,1,2053.42,0,-83868.46789111836,91800.81360470185
6432,632,0,60,2,0.0,2,0,1,2085.32,0,-83865.99085765453,91769.0098416485
6433,615,0,32,1,0.0,2,0,0,2139.25,0,-83861.8029252059,91715.24261399632
6434,703,0,28,9,0.0,2,0,1,2151.17,0,-83860.87639898044,91703.35888601128
6435,679,1,36,3,0.0,2,1,1,2243.41,0,-83853.71319436477,91611.39740211837
6436,798,0,28,3,0.0,2,1,0,2305.27,0,-83848.90802808093,91549.72459527345
6437,636,0,31,6,0.0,2,1,1,2382.61,0,-83842.90330453381,91472.61765581042
6438,585,1,39,7,0.0,2,1,0,2401.26,0,-83841.45538732798,91454.02383080145
6439,662,1,35,6,0.0,2,0,0,2423.9,1,-83839.69644077761,91431.45244707432
6440,850,1,43,3,0.0,2,0,0,2465.8,0,-83836.44064366426,91389.67960931064
6441,671,0,50,8,0.0,1,0,1,2560.11,0,-83829.11816496054,91295.65387340973
6442,434,0,33,3,0.0,1,1,1,2739.71,0,-83815.17269430842,91116.59549997168
6443,640,1,29,3,0.0,2,1,0,2743.69,0,-83814.86166671282,91112.62817390016
6444,466,0,29,6,0.0,2,1,1,2797.27,0,-83810.70228171024,91059.209432525
6445,741,0,43,0,0.0,2,1,1,2920.63,1,-83801.1194114698,90936.22290543107
6446,680,0,31,1,0.0,2,1,1,3148.2,0,-83783.4468781636,90709.33997858442
6447,690,1,48,2,0.0,2,1,1,3149.1,0,-83783.37681017989,90708.44275796713
6448,676,1,36,4,0.0,2,1,1,3173.31,0,-83781.49684272052,90684.30580846341
6449,615,0,30,8,0.0,2,0,0,3183.15,0,-83780.73327504442,90674.49531834236
6450,711,0,64,4,0.0,2,1,1,3185.67,0,-83780.53649700573,90671.98329857775
6451,711,1,29,9,0.0,2,0,1,3234.8,0,-83776.7212084126,90623.0016139595
6452,614,1,35,1,0.0,2,1,1,3342.62,0,-83768.34875814788,90515.50694675033
6453,819,0,35,1,0.0,2,0,1,3385.04,0,-83765.05245370173,90473.21571873162
6454,749,1,28,3,0.0,1,1,0,3408.7,0,-83763.21570650351,90449.62693739682
6455,567,1,41,1,0.0,2,1,0,3414.72,0,-83762.74986461333,90443.62455741971
6456,831,0,30,2,0.0,2,0,1,3430.38,0,-83761.5312419815,90428.01268065925
6457,846,1,41,5,0.0,3,1,0,3440.47,1,-83760.74745865048,90417.95321926275
6458,472,0,19,9,0.0,2,1,0,3453.4,0,-83759.74697220618,90405.06102906351
6459,693,0,21,1,0.0,2,1,1,3494.02,0,-83756.59029080711,90364.5644232998
6460,754,1,38,2,0.0,2,0,0,3524.69,0,-83754.20778789611,90333.98727545288
6461,540,1,40,8,0.0,2,1,0,3560.0,0,-83751.4676310646,90298.78322999016
6462,566,1,21,3,0.0,2,1,1,3626.47,0,-83746.30538439786,90232.51403045886
6463,560,1,35,1,0.0,2,1,0,3701.63,0,-83740.46842157512,90157.58102920595
6464,611,1,33,7,0.0,2,1,1,3729.89,0,-83738.27326664345,90129.40653568781
6465,644,1,39,9,0.0,1,1,0,3740.93,0,-83737.41555228857,90118.39999374542
6466,732,1,36,9,0.0,1,0,0,3749.0,1,-83736.78800855833,90110.35464338267
6467,600,0,34,0,0.0,2,0,1,3756.23,0,-83736.22778848451,90103.14605538078
6468,514,1,41,7,0.0,2,1,1,3756.65,0,-83736.19596110481,90102.7270568382
6469,811,0,42,10,0.0,2,1,1,3797.79,0,-83732.99818334501,90061.71225891665
6470,850,1,32,5,0.0,1,1,1,3830.59,0,-83730.45059301116,90029.01142938242
6471,708,1,67,1,0.0,2,0,1,3837.08,0,-83729.94776646403,90022.54063651948
