,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,pca0,pca1
0,709,0,45,4,122917.71,1,1,1,11.58,1,38519.44524190163,103382.32229080237
1,645,1,59,8,121669.93,2,0,0,91.75,1,37281.65917967716,103205.491170943
2,708,0,52,10,105355.81,1,1,0,123.07,1,21019.242792211888,101907.30530925687
3,621,0,35,7,87619.29,1,1,0,143.34,0,3337.862611730446,100509.67146346286
4,616,1,41,1,103560.57,1,1,0,236.45,1,19238.22885672363,101654.84841287963
5,649,0,37,9,87374.88,2,1,1,247.36,0,3102.269264888254,100386.98473757513
6,520,0,34,8,120018.86,2,1,1,343.38,0,35655.11599408804,102826.39796907795
7,571,0,49,4,180614.04,1,0,0,523.0,0,96081.24074704821,107353.16490750364
8,663,0,26,5,141462.13,1,1,0,440.2,0,57041.14499244929,104395.16316773524
9,807,0,35,3,174790.15,1,1,1,600.36,0,90280.94962476258,106823.75380962077
10,678,1,49,3,204510.94,1,0,1,738.88,1,119922.73540538037,108993.77940032794
11,542,1,35,9,127543.11,2,1,0,468.94,1,43166.39305117002,103285.55330837249
12,751,1,34,8,127095.14,2,0,0,479.54,0,42720.60116212462,103240.19647415422
13,766,1,26,3,104258.8,1,1,1,428.23,0,19949.245175475495,101517.8728696476
14,708,1,42,8,192390.52,2,1,0,823.36,0,107845.481612926,107968.27828595863
15,714,1,36,1,101609.01,2,1,1,447.73,0,17308.971805986428,101292.64793377215
16,642,1,30,5,129753.69,1,1,0,582.53,0,45379.11919245002,103343.98114614963
17,777,1,46,0,107362.8,1,1,0,487.3,0,23048.458297705278,101700.03913734537
18,648,1,40,5,139973.65,1,1,1,667.66,1,55574.82494305699,104052.79419041917
19,614,1,41,8,121558.46,1,1,1,598.8,0,37209.90314837938,102691.31559437307
20,623,0,50,7,126608.37,1,0,1,645.61,1,42248.1971879111,103036.82490499961
21,667,0,33,9,124573.33,2,0,0,683.37,0,40222.23605878724,102841.13709007682
22,520,0,30,3,143396.54,2,1,1,898.51,0,59005.30400898463,104088.46387257359
23,698,0,47,5,156265.31,2,0,0,1055.66,0,71847.41478411372,104931.18256192112
24,557,0,33,3,54503.55,1,1,1,371.05,0,-29660.18020731139,97710.86825422655
25,727,1,57,1,109679.72,1,0,1,753.37,0,25379.043574293173,101614.70543193129
26,645,0,42,4,98298.18,1,1,1,676.06,0,14025.87249978523,100807.88701533424
27,731,1,43,9,79120.27,1,0,0,548.52,1,-5104.021751255762,99445.67846275769
28,850,1,40,7,104449.8,1,1,1,747.88,0,20164.493331837304,101214.02167693028
29,640,0,55,10,132436.34,1,1,0,978.66,0,48084.43094585592,103157.38314349623
30,435,0,37,8,114346.3,1,0,1,980.93,1,30049.199427327603,101750.24005935971
31,596,0,48,2,131326.47,1,0,0,1140.02,1,46990.4437262558,102910.31740320893
32,700,0,38,8,134811.3,1,1,0,1299.75,0,50477.154726278015,103021.7033191062
33,665,1,51,9,110610.41,2,0,1,1112.76,1,26334.832508918975,101328.67835440695
34,850,1,35,6,81684.97,1,1,0,824.0,0,-2525.67249630802,99370.20637516741
35,528,0,22,5,93547.23,2,0,1,961.57,0,9311.442577207752,100154.27833206653
36,710,0,34,8,147833.3,2,0,1,1561.58,0,63480.16051644806,103771.95747893484
37,606,0,30,8,180307.73,2,1,1,1914.41,0,95883.91350125578,105942.16907127057
38,829,1,37,3,103457.76,1,0,0,1114.12,0,19203.891542508987,100771.84550104562
39,521,1,29,2,87212.8,1,1,1,994.86,0,2998.7286468189213,99629.15466803584
40,721,0,42,4,102936.72,1,0,0,1187.88,0,18690.152373648187,100657.8437665974
41,632,0,28,7,155519.59,1,1,0,1843.24,0,71165.10999501076,104088.06801509291
42,679,0,33,4,96110.22,1,1,0,1173.23,0,11883.131107150743,100142.3008360375
43,672,0,40,10,102980.44,1,1,0,1285.81,1,18741.34513571298,100563.60467575655
44,679,1,44,3,118742.74,2,1,0,1568.91,0,34478.026718453795,101505.46580074022
45,659,1,33,8,115409.6,1,0,1,1539.21,0,31152.646471428674,101276.22312261835
46,590,1,27,8,123599.49,2,1,0,1676.92,0,39328.49588264932,101774.95870285475
47,526,1,32,6,131938.92,2,1,1,1795.93,0,47651.98151765115,102303.95117552756
48,536,0,53,2,143923.96,1,1,0,2019.78,1,59618.209643200804,103011.53997687662
49,562,0,33,8,92659.2,2,1,0,1354.25,0,8456.590589319401,99693.81966179427
50,611,0,53,3,83568.26,1,0,0,1235.49,0,-616.1159944759162,99106.21539637771
51,643,1,45,2,150842.93,1,0,1,2319.96,1,66539.59654418948,103249.596678091
52,783,1,42,2,139707.28,1,1,0,2150.22,0,55424.3968720036,102554.02575507546
53,766,1,38,7,130933.74,1,0,1,2035.94,0,46668.47887007329,101986.60416362651
54,792,0,36,5,115725.24,2,0,0,1871.25,0,31493.120827483257,100969.69907894409
55,655,0,37,6,109093.41,2,1,0,1775.52,0,24873.88407151383,100550.10913325333
56,496,1,44,0,179356.28,2,1,0,2919.21,1,95013.36916736457,104866.51340812596
57,539,1,37,1,130922.81,2,0,0,2186.83,0,46669.297888964655,101835.32031438024
