,,,,,,,,,,,,,325.630526105221,
year,make,model,trim,body,state,condition,odometer,color,interior,seller,mmr,sellingprice,,saledate
2007,bmw,7,series b7 alpina,,ca,2.8,97470,black,black,best auto wholesale,18350,17100,1250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Chrysler,200,LX  (luxe package)?,Sedan,ca,2.1,55277,black,black,dtg operations inc,8750,6900,1850,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Chrysler,200,LX,Sedan,ca,3.4,64265,black,black,dtg operations inc,8325,8100,225,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Chrysler,200,LX,Sedan,ca,3.7,63985,gray,black,dtg operations inc,8325,8600,-275,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2011,Chrysler,200,Limited,Sedan,ca,1.9,78503,blue,black,cig financial,8875,7300,1575,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chrysler,200,Touring,Sedan,ca,3,28278,red,black,hertz corporation/gdp,11900,12100,-200,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chrysler,200,Limited,Sedan,ca,5,9799,black,black,california republic bank,15200,15200,0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chrysler,200,Touring,Sedan,ca,4,20300,black,black,hertz corporation/gdp,12650,14000,-1350,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2014,Chrysler,200,Touring,Sedan,ca,4.4,39030,black,black,enterprise veh exchange/rental,11450,11300,150,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2014,Chrysler,200,Touring,Sedan,ca,3,20195,white,black,hertz corporation/gdp,12650,13500,-850,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2014,Chrysler,200,Limited,Sedan,ca,,12309,gray,black,hertz/tra,15050,2500,12550,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Chrysler,200,Limited,Sedan,ca,2,33326,black,black,hertz damaged liquidation,13850,5250,8600,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,ca,4.4,38933,white,black,honda of serramonte,10600,10900,-300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,ca,4.3,37780,gray,black,enterprise veh exchange/rental,10850,10900,-50,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Chrysler,200,Limited,Sedan,ca,3.8,36501,gray,black,avis rac/san leandro,12000,12400,-400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,ca,,34189,white,black,enterprise vehicle exchange / tra / rental / tulsa,11050,2600,8450,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,ca,5,11671,gray,black,exeter finance corp,12200,12500,-300,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,ca,4.2,37959,white,black,enterprise vehicle exchange/orange,10700,11000,-300,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Chrysler,200,LX,Sedan,ca,2.9,37013,gray,black,enterprise veh exchange/rental,11050,10500,550,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,ca,3.8,39838,white,black,enterprise vehicle exchange/orange,10600,10900,-300,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Chrysler,200,LX,Sedan,ca,4.1,43130,white,black,enterprise veh exchange/rental,10600,10400,200,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Chrysler,200,LX,Sedan,ca,2.9,40579,white,black,honda of serramonte,10700,10300,400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,ca,2,39827,gray,black,enterprise vehicle exchange / tra / rental / tulsa,10900,9000,1900,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,ca,4.4,39204,gold,black,enterprise vehicle exchange/orange,10600,10900,-300,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,ca,3.9,19157,silver,black,california auto exchange,11600,11500,100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Chrysler,200,Limited,Sedan,ca,3.4,49716,silver,black,santander consumer,11350,10400,950,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,ca,4.3,40537,gray,black,enterprise vehicle exchange/orange,10550,10900,-350,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Chrysler,200,LX,Sedan,ca,3.8,38787,gray,black,enterprise vehicle exchange/orange,10800,10400,400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Chrysler,200,Touring,Sedan,in,3.5,28310,black,black,santander consumer,9300,10100,-800,Thu Dec 18 2014 10:10:00 GMT-0800 (PST)
2011,Chrysler,200,LX,Sedan,in,4.7,103728,white,tan,ari,6950,6400,550,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2011,Chrysler,200,Touring,Sedan,in,3.9,37562,gold,tan,ft knox fcu,8775,9700,-925,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2011,Chrysler,200,Touring,Sedan,mn,4,35733,silver,black,fiserv/usb dealer services northstar exchange,9675,9700,-25,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
2011,Chrysler,200,Touring,Sedan,il,,56252,blue,—,bettenhausen motor sales inc,8775,7500,1275,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2011,Chrysler,200,LX,Sedan,nc,3.5,48978,blue,black,santander consumer,7275,9400,-2125,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2011,Chrysler,200,Touring,Sedan,nv,2,30652,silver,—,titlemax/las vegas nv28,9100,8900,200,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2011,Chrysler,200,Limited,Sedan,va,3.5,115065,black,gray,toyota of stafford,7700,4200,3500,Thu Feb 12 2015 01:35:00 GMT-0800 (PST)
2011,Chrysler,200,Limited,Sedan,mi,4.1,51694,white,tan,tdaf remarketing,10950,11400,-450,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2011,Chrysler,200,Limited,Sedan,pa,3.6,39037,white,tan,fiserv/usb dealer services northstar exchange,11950,11600,350,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
2011,Chrysler,200,Touring,Sedan,mi,4.1,39025,white,black,chrysler capital,9525,9300,225,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2011,Chrysler,200,Touring,Sedan,mn,3.8,40660,red,tan,fiserv/usb dealer services northstar exchange,9450,10300,-850,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
2011,Chrysler,200,Touring,Sedan,nj,3.3,64495,red,black,santander consumer,8550,7000,1550,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2011,chrysler,200,v6 s,,mi,4.9,55895,red,black,kevins marysville auto sales inc,10900,12000,-1100,Thu Jan 08 2015 09:30:00 GMT-0800 (PST)
2012,Chrysler,300,S V6,Sedan,ca,4.3,27368,gray,black,orange county's credit union,21300,22000,-700,Wed Dec 17 2014 12:05:00 GMT-0800 (PST)
2011,Chrysler,300,C,Sedan,ca,2.6,22319,black,black,western fcu,21500,20000,1500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Chrysler,300,C,Sedan,ca,2.8,43532,black,black,donlen corporation,19350,20600,-1250,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2011,Chrysler,300,Base,Sedan,ca,3.8,34994,blue,tan,fiserv/usb dealer services northstar exchange,17250,16250,1000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2011,Chrysler,300,C,Sedan,ca,4.5,61030,white,beige,wells fargo dealer services,17850,18800,-950,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chrysler,300,C,Sedan,ca,3,24870,—,black,hertz corporation/gdp,22500,22600,-100,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2014,Chrysler,300,SRT8,Sedan,ca,4.4,12910,black,brown,s/s auto wholesale,37300,38500,-1200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chrysler,300,Base,Sedan,ca,3,16863,gray,black,hertz corporation/gdp,19450,19600,-150,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2014,Chrysler,300,Base,Sedan,ca,,12785,white,black,enterprise vehicle exchange / tra / rental / tulsa,19700,13600,6100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chrysler,300,Base,Sedan,ca,3,11330,—,black,hertz corporation/gdp,20000,20300,-300,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2014,Chrysler,300,C,Sedan,ca,3,28045,—,black,pv holding inc/gdp,22100,21300,800,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chrysler,300,Base,Sedan,ca,2,12963,black,black,enterprise vehicle exchange / tra / rental / tulsa,19250,13200,6050,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2014,Chrysler,300,C,Sedan,ca,4.4,24481,gray,black,premium auto wholesale,21700,22500,-800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chrysler,300,Base,Sedan,ca,3,24769,gray,black,hertz corporation/gdp,18550,18500,50,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2010,Chrysler,300,Touring,Sedan,ca,2,53275,gray,black,remarketing by ge/chase lease remarketing co,10600,9500,1100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2008,Chrysler,300,Touring,Sedan,ca,2.9,138543,gray,black,"consolidated asset recovery systems, inc.",5825,4900,925,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2008,Chrysler,300,LX,Sedan,ca,1.9,1,white,black,wells fargo dealer services,32500,1300,31200,Thu Mar 26 2015 04:30:00 GMT-0700 (PDT)
2007,Chrysler,300,Base,Sedan,ca,3.3,123482,black,black,jimmie johnson kearny mesa chevrolet,4725,5900,-1175,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2007,Chrysler,300,Base,Sedan,ca,2,102388,black,gray,repo remarketing/first imperial cu,5875,2600,3275,Wed Jan 14 2015 03:00:00 GMT-0800 (PST)
2006,Chrysler,300,Base,Sedan,ca,1.9,121589,blue,gray,valley kia,4575,2700,1875,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2006,Chrysler,300,Touring,Sedan,ca,2,105117,blue,gray,public service credit union,6250,5700,550,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Chrysler,300,Touring,Sedan,ca,2.2,131198,silver,gray,primeritus remarketing/cu recovery,5275,3500,1775,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Chrysler,300,C,Sedan,ca,2.8,109172,silver,gray,repo remarketing/schools first fcu,6875,6300,575,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Chrysler,300,Base,Sedan,ca,2.7,166706,black,gray,"jpmorgan chase bank,n.a.",3275,3400,-125,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2006,Chrysler,300,C,Sedan,ca,2.8,101707,green,beige,pra recievables management llc,7300,4200,3100,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2006,Chrysler,300,Base,Sedan,ca,,140138,white,—,detroit west auto wholesale,4075,3100,975,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Chrysler,300,Base,Sedan,ca,2.9,70271,silver,gray,springleaf financial services/evansville,6150,3500,2650,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Chrysler,300,Touring,Sedan,ca,3.5,131948,black,gray,bmw of murrieta,5075,7300,-2225,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2006,Chrysler,300,Base,Sedan,ca,1.9,124623,silver,black,santander consumer,4475,5000,-525,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2006,Chrysler,300,C,Sedan,ca,4.1,115397,silver,gray,high bid trading co inc,6250,8300,-2050,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2006,Chrysler,300,SRT-8,Sedan,ca,2.5,118944,silver,black,mercedes benz of temecula,9900,12250,-2350,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2006,Chrysler,300,Base,Sedan,ca,2.8,147770,black,gray,800 loan mart,3825,2700,1125,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2006,Chrysler,300,Touring,Sedan,ca,,103156,silver,—,special interest cars,6325,6200,125,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Chrysler,300,Base,Sedan,ca,1.9,120175,black,black,quality acceptance,4600,4100,500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2005,Chrysler,300,Base,Sedan,ca,1.9,102594,black,green,billotti auto sales,5225,4200,1025,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
