,Age,Previously_Insured,Vehicle_Damage,Policy_Sales_Channel,Age30,Age3059,Age1,Age4,AgeResponse,myvariable2,myvariable5,myvariable6,myvariable7,myvariable8,Vehicle_Age_1-2 Year,Vehicle_Age_< 1 Year,Vehicle_Age_> 2 Years,Region_Code_high mid,Region_Code_low,Region_Code_low mid,Region_Code_mid,Region_Code_unknown,Region_Code_very low,pred,prob,real,result,TP,TN,FP,FN
257316,4.02535169073515,0,1,0.2049303496730699,1,True,False,False,0.17158671586715868,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0.7547964390630795,0,False,0,0,1,0
26495,3.1354942159291497,0,1,0.2049303496730699,0,False,True,False,0.03440725680325305,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.57989572759121,0,False,0,0,1,0
40429,4.276666119016055,1,0,0.11884411884411884,1,False,False,False,0.08914728682170543,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.005373484926100413,0,True,0,1,0,0
210268,3.091042453358316,1,0,0.02736646630503836,0,False,True,False,0.03658094893154654,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0015394469989249801,0,True,0,1,0,0
241533,3.7376696182833684,0,1,0.2049303496730699,1,True,False,True,0.19020172910662825,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7616943558196533,0,False,0,0,1,0
10743,3.5553480614894135,0,0,0.02736646630503836,1,True,False,True,0.21850079744816586,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.2078042462604634,0,True,0,1,0,0
291623,3.1354942159291497,1,0,0.2049303496730699,0,False,True,False,0.03440725680325305,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0071677593078743225,0,True,0,1,0,0
199896,3.2188758248682006,1,0,0.02736646630503836,0,False,True,False,0.03684406401190919,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0018688184128021676,0,True,0,1,0,0
137359,2.995732273553991,1,0,0.02736646630503836,0,False,True,False,0.029036004645760744,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0018157982502034142,0,True,0,1,0,0
48066,3.1780538303479458,0,1,0.2049303496730699,0,False,True,False,0.036581709145427285,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.6211508883046223,0,False,0,0,1,0
333221,3.4657359027997265,0,1,0.02736646630503836,1,True,False,True,0.1984848484848485,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.6115639708378201,0,False,0,0,1,0
344698,3.295836866004329,0,1,0.02736646630503836,0,False,True,False,0.0363232023721275,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.45356629043868274,1,False,0,0,0,1
309222,3.044522437723423,0,1,0.02736646630503836,0,False,True,False,0.03551660516605166,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.3641150926695415,0,True,0,1,0,0
100580,3.2188758248682006,0,1,0.02736646630503836,0,False,True,False,0.03684406401190919,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.4390002223866367,0,True,0,1,0,0
78875,3.912023005428146,0,1,0.2049303496730699,1,True,False,True,0.19757575757575757,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7461068620737366,1,True,1,0,0,0
215036,3.7376696182833684,1,0,0.11884411884411884,1,True,False,True,0.19020172910662825,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.006081525423519232,0,True,0,1,0,0
98587,3.258096538021482,1,0,0.02736646630503836,0,False,True,False,0.044853364002300174,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.002033030669533628,0,True,0,1,0,0
249101,3.713572066704308,0,1,0.2049303496730699,1,True,False,True,0.22111553784860558,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7848311870186196,0,False,0,0,1,0
146656,3.8066624897703196,0,1,0.2049303496730699,1,True,False,True,0.21357285429141717,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7657894732816877,0,False,0,0,1,0
173443,3.7612001156935624,1,0,0.2049303496730699,1,True,False,True,0.2502218278615794,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.01624739579606462,0,True,0,1,0,0
225012,3.8501476017100584,0,1,0.2049303496730699,1,True,False,True,0.19796954314720813,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7573743554652203,0,False,0,0,1,0
84452,3.6888794541139363,1,0,0.2049303496730699,1,True,False,True,0.2245762711864407,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.015983720237885836,0,True,0,1,0,0
292115,3.9889840465642745,0,1,0.2049303496730699,1,True,False,True,0.17804154302670624,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.747656277604486,1,True,1,0,0,0
354733,3.871201010907891,1,0,0.2049303496730699,1,True,False,True,0.20146137787056367,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.012002897497571647,0,True,0,1,0,0
240476,3.8918202981106265,0,1,0.2049303496730699,1,True,False,True,0.209277238403452,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0.7639355871122949,0,False,0,0,1,0
158151,3.1354942159291497,1,0,0.02736646630503836,0,False,True,False,0.03440725680325305,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0032560384033388672,0,True,0,1,0,0
92710,3.091042453358316,1,0,0.02736646630503836,0,False,True,False,0.03658094893154654,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0019201459173087952,0,True,0,1,0,0
246928,3.8501476017100584,0,1,0.2049303496730699,1,True,False,True,0.19796954314720813,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7573743554652203,0,False,0,0,1,0
226247,3.8918202981106265,0,1,0.11884411884411884,1,True,False,True,0.209277238403452,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7558131691612224,0,False,0,0,1,0
46020,3.044522437723423,1,0,0.02736646630503836,0,False,True,False,0.03551660516605166,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0014936054835198703,0,True,0,1,0,0
20518,3.4657359027997265,1,0,0.02736646630503836,1,True,False,True,0.1984848484848485,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.008061120683222981,0,True,0,1,0,0
104808,2.995732273553991,0,1,0.02736646630503836,0,False,True,False,0.029036004645760744,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.32845182911163706,0,True,0,1,0,0
264107,3.1354942159291497,1,0,0.02736646630503836,0,False,True,False,0.03440725680325305,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0025194768040730344,0,True,0,1,0,0
48426,3.828641396489095,0,1,0.2049303496730699,1,True,False,True,0.23592233009708738,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.7608533899413282,0,False,0,0,1,0
