,Gender,IsActiveMember,CreditScore_sign,Age_log,Age_gtmean,Age_gtq3,Age_pow20,Age_sign,Tenure_log,Balance_log,Balance_sqrt,Balance_gtmean,Balance_pow20,EstimatedSalary_sign,Geography_France,Geography_Germany,Geography_Spain,"AgeBins_(17.999, 31.0]","AgeBins_(31.0, 35.0]","AgeBins_(35.0, 40.0]","AgeBins_(40.0, 46.0]","AgeBins_(46.0, 92.0]",pred,real
1054,0,1,1,3.295836866004329,0,0,729.0,1,0.6931471805599453,11.81009152192886,366.88401436966427,1,18118204511.0544,1.0,1,0,0,1,0,0,0,0,0,0
7007,1,0,1,3.4339872044851463,0,0,961.0,1,0.0,0.0,0.0,0,0.0,1.0,0,0,1,1,0,0,0,0,0,0
4550,1,1,1,4.110873864173311,1,1,3721.0,1,1.0986122886681098,11.787397594049523,362.7445244245597,1,17314241157.288097,1.0,1,0,0,0,0,0,0,1,0,1
6445,0,1,1,3.6109179126442243,0,0,1369.0,1,1.9459101490553132,11.86038250426622,376.2264610576986,1,20035369198.322502,1.0,1,0,0,0,0,1,0,0,0,0
7774,1,0,1,3.713572066704308,1,0,1681.0,1,2.0794415416798357,11.885524898489841,380.98593149878906,1,21068603784.0784,1.0,1,0,0,0,0,0,1,0,1,1
3854,0,1,1,3.7612001156935624,1,0,1849.0,1,1.9459101490553132,0.0,0.0,0,0.0,1.0,1,0,0,0,0,0,1,0,0,0
7803,0,0,1,3.871201010907891,1,1,2304.0,1,0.6931471805599453,11.78544163936317,362.38994191340356,1,17246641722.6609,1.0,0,1,0,0,0,0,0,1,0,1
8907,0,0,1,3.4339872044851463,0,0,961.0,1,2.0794415416798357,11.890510442412323,381.9368272371754,1,21279731520.547596,1.0,1,0,0,1,0,0,0,0,1,0
6115,0,0,1,3.58351893845611,0,0,1296.0,1,0.0,11.636118374170119,336.31868815158043,1,12793930917.2676,1.0,0,0,1,0,0,1,0,0,0,0
7746,0,0,1,3.5263605246161616,0,0,1156.0,1,1.9459101490553132,11.854348142201031,375.0930284609406,1,19795021119.248398,1.0,0,0,1,0,1,0,0,0,0,0
1347,1,0,1,3.295836866004329,0,0,729.0,1,2.1972245773362196,0.0,0.0,0,0.0,1.0,1,0,0,1,0,0,0,0,0,0
1641,1,1,1,3.8918202981106265,1,1,2401.0,1,2.302585092994046,0.0,0.0,0,0.0,1.0,0,0,1,0,0,0,0,1,0,1
4794,0,1,1,3.4339872044851463,0,0,961.0,1,1.6094379124341003,11.513746527805868,316.35761410151014,1,10016434746.979599,1.0,1,0,0,1,0,0,0,0,0,0
6566,0,0,1,3.58351893845611,0,0,1296.0,1,1.6094379124341003,11.695114262952123,346.387167776175,1,14396177053.764902,1.0,0,1,0,0,0,1,0,0,1,1
1395,1,1,1,2.9444389791664403,0,0,361.0,1,0.0,11.839759113569999,372.3668621131585,1,19225785834.126396,1.0,0,1,0,1,0,0,0,0,0,0
1938,1,1,1,3.8066624897703196,1,1,2025.0,1,1.791759469228055,11.191268596781175,269.24837975371366,0,5255480078.1961,1.0,1,0,0,0,0,0,1,0,0,0
2004,0,1,1,3.9318256327243257,1,1,2601.0,1,0.0,0.0,0.0,0,0.0,1.0,0,0,1,0,0,0,0,1,0,0
7407,0,0,1,3.6635616461296463,1,0,1521.0,1,2.0794415416798357,0.0,0.0,0,0.0,1.0,0,0,1,0,0,1,0,0,0,0
1960,0,1,1,4.07753744390572,1,1,3481.0,1,1.6094379124341003,11.840588658507269,372.52134167051423,1,19257709615.622498,1.0,1,0,0,0,0,0,0,1,0,0
7885,1,1,1,3.4657359027997265,0,0,1024.0,1,1.791759469228055,11.851884321673268,374.6312320135629,1,19697718294.0736,1.0,0,1,0,0,1,0,0,0,0,0
1417,0,0,1,3.1780538303479458,0,0,576.0,1,1.791759469228055,11.957656733916862,394.97732846329296,1,24338212130.2681,1.0,0,1,0,1,0,0,0,0,0,0
7904,0,1,1,3.4011973816621555,0,0,900.0,1,0.0,11.418213496201998,301.60154177324756,1,8274356512.980101,1.0,1,0,0,1,0,0,0,0,0,0
3207,1,0,1,3.5263605246161616,0,0,1156.0,1,2.0794415416798357,11.325500588363186,287.9394728063521,1,6873925495.5396,1.0,1,0,0,0,1,0,0,0,0,1
9337,0,0,1,3.6375861597263857,0,0,1444.0,1,1.3862943611198906,0.0,0.0,0,0.0,1.0,1,0,0,0,0,1,0,0,0,0
5239,1,1,1,3.4657359027997265,0,0,1024.0,1,0.0,11.552159447266243,322.49244952401597,1,10816287041.904402,1.0,1,0,0,0,1,0,0,0,0,0
3573,0,0,1,3.295836866004329,0,0,729.0,1,1.9459101490553132,0.0,0.0,0,0.0,1.0,1,0,0,1,0,0,0,0,0,0
9396,1,0,1,3.1780538303479458,0,0,576.0,1,0.6931471805599453,11.46871879054466,309.314758781407,1,9153824262.3844,1.0,0,1,0,1,0,0,0,0,0,1
5351,1,1,1,3.2188758248682006,0,0,625.0,1,1.9459101490553132,0.0,0.0,0,0.0,1.0,1,0,0,1,0,0,0,0,0,0
6332,0,1,1,2.995732273553991,0,0,400.0,1,1.0986122886681098,11.692862932079507,345.997471089024,1,14331501653.0625,1.0,0,1,0,1,0,0,0,0,0,0
5110,1,1,1,4.189654742026425,1,1,4356.0,1,2.1972245773362196,0.0,0.0,0,0.0,1.0,1,0,0,0,0,0,0,1,0,0
3119,0,1,1,3.828641396489095,1,1,2116.0,1,2.0794415416798357,11.041328246635626,249.80088070301113,0,3893819904.2304006,1.0,0,0,1,0,0,0,1,0,0,1
3834,1,1,1,3.4657359027997265,0,0,1024.0,1,2.1972245773362196,0.0,0.0,0,0.0,1.0,1,0,0,0,1,0,0,0,0,0
609,0,1,1,3.9889840465642745,1,1,2916.0,1,2.0794415416798357,0.0,0.0,0,0.0,1.0,1,0,0,0,0,0,0,1,0,1
9075,1,1,1,4.1588830833596715,1,1,4096.0,1,0.0,11.420985599271363,302.0198668962027,1,8320358656.0,1.0,0,0,1,0,0,0,0,1,1,0
5049,1,0,1,3.4965075614664802,0,0,1089.0,1,1.9459101490553132,0.0,0.0,0,0.0,1.0,1,0,0,0,1,0,0,0,0,0
8836,1,1,1,3.5553480614894135,0,0,1225.0,1,1.0986122886681098,12.019637218363382,407.40941324422045,1,27550167068.7049,1.0,0,1,0,0,1,0,0,0,0,0
8933,0,0,1,3.258096538021482,0,0,676.0,1,1.791759469228055,11.778582609644282,361.14924892625766,1,17011666652.288399,1.0,1,0,0,1,0,0,0,0,0,0
4402,1,1,1,3.7376696182833684,1,0,1764.0,1,1.9459101490553132,11.568574812965082,325.15025757332563,1,11177287180.8361,1.0,0,1,0,0,0,0,1,0,0,1
8476,1,1,1,3.4657359027997265,0,0,1024.0,1,1.3862943611198906,12.07485930699824,418.8151501557698,1,30767310441.5769,1.0,0,0,1,0,1,0,0,0,0,1
2359,0,1,1,3.4339872044851463,0,0,961.0,1,1.9459101490553132,0.0,0.0,0,0.0,1.0,0,0,1,1,0,0,0,0,0,0
4962,0,1,1,3.713572066704308,1,0,1681.0,1,1.6094379124341003,0.0,0.0,0,0.0,1.0,0,0,1,0,0,0,1,0,0,0
3340,0,1,1,3.332204510175204,0,0,784.0,1,1.3862943611198906,0.0,0.0,0,0.0,1.0,1,0,0,1,0,0,0,0,0,0
5243,0,1,1,3.367295829986474,0,0,841.0,1,1.0986122886681098,11.888216960546394,381.4990956738954,1,21182345687.2336,1.0,0,1,0,1,0,0,0,0,0,0
4869,0,0,1,3.5553480614894135,0,0,1225.0,1,0.0,0.0,0.0,0,0.0,1.0,0,0,1,0,1,0,0,0,0,0
9470,0,1,1,3.713572066704308,1,0,1681.0,1,1.9459101490553132,11.723418859378565,351.32419501081904,1,15234641515.1161,1.0,0,0,1,0,0,0,1,0,0,0
9931,0,0,1,3.8501476017100584,1,1,2209.0,1,0.6931471805599453,0.0,0.0,0,0.0,1.0,1,0,0,0,0,0,0,1,0,0
4293,1,0,1,3.6635616461296463,1,0,1521.0,1,1.9459101490553132,11.77568703511675,360.6267599610434,1,16913434268.7556,1.0,0,0,1,0,0,1,0,0,1,1
7740,0,0,1,3.367295829986474,0,0,841.0,1,2.1972245773362196,0.0,0.0,0,0.0,1.0,0,0,1,1,0,0,0,0,0,0
8131,1,0,1,3.5263605246161616,0,0,1156.0,1,2.1972245773362196,11.531367952008603,319.1572653097529,1,10375736661.0496,1.0,0,1,0,0,1,0,0,0,0,0
356,0,1,1,4.2626798770413155,1,1,5041.0,1,1.0986122886681098,0.0,0.0,0,0.0,1.0,1,0,0,0,0,0,0,1,0,1
2847,0,0,1,3.828641396489095,1,1,2116.0,1,1.3862943611198906,11.732439477470196,352.91235455846544,1,15511987591.2369,1.0,1,0,0,0,0,0,1,0,0,0
5580,0,1,1,3.713572066704308,1,0,1681.0,1,1.791759469228055,11.468937213143509,309.3485412928272,1,9157823940.110401,1.0,1,0,0,0,0,0,1,0,0,0
4509,0,0,1,3.8066624897703196,1,1,2025.0,1,1.3862943611198906,11.615172258021301,332.81478332550074,1,12269035865.862398,1.0,0,1,0,0,0,0,1,0,0,1
9736,1,0,1,3.7376696182833684,1,0,1764.0,1,2.1972245773362196,11.89205173119584,382.2312781549935,1,21345429150.5625,1.0,0,1,0,0,0,0,1,0,0,1
9918,1,0,1,3.6635616461296463,1,0,1521.0,1,1.6094379124341003,0.0,0.0,0,0.0,1.0,1,0,0,0,0,1,0,0,0,0
5937,1,0,1,3.6888794541139363,1,0,1600.0,1,0.6931471805599453,11.482480278005788,311.45041338871266,1,9409263841.8496,1.0,0,1,0,0,0,1,0,0,0,0
2940,0,0,1,3.7376696182833684,1,0,1764.0,1,0.6931471805599453,11.846260356696263,373.5792553127114,1,19477401117.331596,1.0,1,0,0,0,0,0,1,0,0,1
4103,1,1,1,3.258096538021482,0,0,676.0,1,2.0794415416798357,11.909083462647942,385.5002075226419,1,22085053960.3681,1.0,0,0,1,1,0,0,0,0,1,1
7105,1,1,1,3.5263605246161616,0,0,1156.0,1,1.6094379124341003,0.0,0.0,0,0.0,1.0,1,0,0,0,1,0,0,0,0,0
8557,0,0,1,3.8501476017100584,1,1,2209.0,1,1.6094379124341003,0.0,0.0,0,0.0,1.0,1,0,0,0,0,0,0,1,0,0
6292,1,1,1,3.332204510175204,0,0,784.0,1,1.791759469228055,0.0,0.0,0,0.0,1.0,1,0,0,1,0,0,0,0,0,0
9705,1,0,1,3.8066624897703196,1,1,2025.0,1,1.9459101490553132,11.83879309960673,372.1870497478385,1,19188676938.24,1.0,0,1,0,0,0,0,1,0,0,1
2327,0,0,1,3.295836866004329,0,0,729.0,1,0.0,12.191171167953668,443.8939062433725,1,38825470947.24,1.0,1,0,0,1,0,0,0,0,0,0
3655,0,1,1,3.9512437185814275,1,1,2704.0,1,0.0,0.0,0.0,0,0.0,1.0,1,0,0,0,0,0,0,1,1,0
6170,1,0,1,3.6109179126442243,0,0,1369.0,1,1.3862943611198906,11.819873697315868,368.6828718560167,1,18476165640.2436,1.0,0,1,0,0,0,1,0,0,0,0
8832,1,0,1,3.4965075614664802,0,0,1089.0,1,2.1972245773362196,0.0,0.0,0,0.0,1.0,0,0,1,0,1,0,0,0,0,0
9325,0,1,1,4.02535169073515,1,1,3136.0,1,1.3862943611198906,11.836653914813667,371.7891741296403,1,19106756055.2961,1.0,1,0,0,0,0,0,0,1,0,0
3583,1,0,1,3.4965075614664802,0,0,1089.0,1,1.9459101490553132,11.54614561454422,321.52419815621965,1,10686971600.3961,1.0,1,0,0,0,1,0,0,0,1,0
4945,0,0,1,3.7612001156935624,1,0,1849.0,1,2.0794415416798357,12.214517239369734,449.10585611857704,1,40681304653.4449,1.0,1,0,0,0,0,0,1,0,1,1
8254,0,1,1,4.394449154672439,1,1,6561.0,1,1.791759469228055,11.71201522960134,349.32670954280036,1,14891113449.722498,1.0,0,1,0,0,0,0,0,1,1,0
7424,0,1,1,4.02535169073515,1,1,3136.0,1,2.0794415416798357,11.273489408666194,280.54796381367663,1,6194817035.2656,1.0,0,0,1,0,0,0,0,1,0,0
7844,1,1,1,3.4965075614664802,0,0,1089.0,1,1.9459101490553132,11.950985473679475,393.6620250925913,1,24015635812.644104,1.0,0,1,0,0,1,0,0,0,0,0
6854,0,1,1,3.58351893845611,0,0,1296.0,1,0.6931471805599453,11.82638960512108,369.8859824324247,1,18718519348.609604,1.0,0,1,0,0,0,1,0,0,0,0
4658,0,1,1,3.8501476017100584,1,1,2209.0,1,1.791759469228055,11.891599817591482,382.144920154645,1,21326145286.867596,1.0,1,0,0,0,0,0,0,1,0,0
9117,0,0,1,3.5263605246161616,0,0,1156.0,1,1.6094379124341003,0.0,0.0,0,0.0,1.0,1,0,0,0,1,0,0,0,0,0
2419,1,1,1,3.6375861597263857,0,0,1444.0,1,1.6094379124341003,12.028977228646069,409.31646680777453,1,28069641547.6009,1.0,1,0,0,0,0,1,0,0,0,0
9505,0,1,1,3.4965075614664802,0,0,1089.0,1,1.0986122886681098,11.955920241837106,394.6345397959991,1,24253832514.416405,1.0,0,1,0,0,1,0,0,0,0,0
7729,0,0,1,3.58351893845611,0,0,1296.0,1,0.6931471805599453,11.628598186590587,335.0564728519657,1,12602945244.865599,1.0,1,0,0,0,0,1,0,0,1,0
2119,1,1,1,3.5553480614894135,0,0,1225.0,1,1.3862943611198906,11.592719895671742,329.09943786035245,1,11730284945.4736,1.0,1,0,0,0,1,0,0,0,1,0
3338,1,1,1,3.367295829986474,0,0,841.0,1,1.9459101490553132,12.09049926678283,422.1031153640068,1,31744919494.681602,1.0,1,0,0,1,0,0,0,0,1,0
6910,1,0,1,3.9318256327243257,1,1,2601.0,1,2.0794415416798357,11.716048496451403,350.0318842619912,1,15011718898.182402,1.0,1,0,0,0,0,0,0,1,0,1
6351,0,1,1,4.330733340286331,1,1,5776.0,1,2.302585092994046,11.706136515426262,348.30142118573104,1,14717057480.654402,1.0,1,0,0,0,0,0,0,1,0,0
67,1,0,1,3.5263605246161616,0,0,1156.0,1,0.6931471805599453,0.0,0.0,0,0.0,1.0,0,0,1,0,1,0,0,0,0,0
9969,1,0,1,3.6888794541139363,1,0,1600.0,1,2.302585092994046,11.740335979833564,354.30849552332216,1,15758913200.940098,1.0,0,1,0,0,0,1,0,0,0,1
4066,0,0,1,3.4965075614664802,0,0,1089.0,1,1.0986122886681098,0.0,0.0,0,0.0,1.0,0,0,1,0,1,0,0,0,0,0
1603,0,1,1,3.6375861597263857,0,0,1444.0,1,1.791759469228055,11.053686725823292,251.34923910766074,0,3991262571.0736003,1.0,0,1,0,0,0,1,0,0,0,0
853,0,1,1,3.6635616461296463,1,0,1521.0,1,1.791759469228055,11.481054230116095,311.2284209387054,1,9382465953.3969,1.0,1,0,0,0,0,1,0,0,0,0
9368,0,0,1,3.4657359027997265,0,0,1024.0,1,0.6931471805599453,0.0,0.0,0,0.0,1.0,1,0,0,0,1,0,0,0,0,1
4359,0,0,1,3.784189633918261,1,0,1936.0,1,1.3862943611198906,0.0,0.0,0,0.0,1.0,0,0,1,0,0,0,1,0,0,0
1194,0,0,1,3.8066624897703196,1,1,2025.0,1,0.6931471805599453,11.694013010685604,346.1964904501488,1,14364504301.040098,1.0,0,1,0,0,0,0,1,0,1,1
9446,1,1,1,3.713572066704308,1,0,1681.0,1,2.1972245773362196,12.108798678757813,425.9829574055751,1,32928268723.790405,1.0,0,1,0,0,0,0,1,0,0,1
8422,1,1,1,3.6375861597263857,0,0,1444.0,1,1.9459101490553132,11.613815231706718,332.5890407094016,1,12235782203.3209,1.0,1,0,0,0,0,1,0,0,0,0
3631,0,1,1,3.6109179126442243,0,0,1369.0,1,2.1972245773362196,11.47032198871995,309.56280461321575,1,9183222156.5569,1.0,0,1,0,0,0,1,0,0,0,0
5389,0,1,1,3.5263605246161616,0,0,1156.0,1,0.0,11.275042951839048,280.765970160203,1,6214094800.0209,1.0,1,0,0,0,1,0,0,0,0,0
