,Gender,IsActiveMember,Exited,CreditScore_sign,Age_log,Age_gtmean,Age_gtq3,Age_pow20,Age_sign,Tenure_log,Balance_log,Balance_sqrt,Balance_gtmean,Balance_pow20,EstimatedSalary_sign,Geography_France,Geography_Germany,Geography_Spain,"AgeBins_(17.999, 31.0]","AgeBins_(31.0, 35.0]","AgeBins_(35.0, 40.0]","AgeBins_(40.0, 46.0]","AgeBins_(46.0, 92.0]"
0,1,0,0,1,3.6635616461296463,1,0,1521.0,1,2.1972245773362196,11.99531389745387,402.484645669869,1,26242020397.332104,1.0,0,0,1,0,0,1,0,0
1,0,1,1,1,3.5553480614894135,0,0,1225.0,1,0.0,0.0,0.0,0,0.0,1.0,0,0,1,0,1,0,0,0
2,0,1,0,1,3.8501476017100584,1,1,2209.0,1,0.0,11.073335573375465,253.83077039634102,0,4151232631.6035995,1.0,1,0,0,0,0,0,0,1
3,1,0,0,1,3.4011973816621555,0,0,900.0,1,1.791759469228055,10.964905287336522,240.43568786683895,0,3341917478.8624,1.0,0,1,0,1,0,0,0,0
4,0,0,0,1,3.871201010907891,1,1,2304.0,1,2.302585092994046,11.472609071778743,309.9170050190857,1,9225323957.1025,1.0,0,1,0,0,0,0,0,1
5,0,0,0,1,3.6375861597263857,0,0,1444.0,1,2.1972245773362196,0.0,0.0,0,0.0,1.0,1,0,0,0,0,1,0,0
6,0,1,0,1,3.367295829986474,0,0,841.0,1,1.0986122886681098,0.0,0.0,0,0.0,1.0,0,0,1,1,0,0,0,0
7,1,1,0,1,3.332204510175204,0,0,784.0,1,2.1972245773362196,0.0,0.0,0,0.0,1.0,1,0,0,1,0,0,0,0
8,0,0,0,1,3.6635616461296463,1,0,1521.0,1,2.0794415416798357,0.0,0.0,0,0.0,1.0,1,0,0,0,0,1,0,0
9,0,1,0,1,3.784189633918261,1,0,1936.0,1,2.0794415416798357,0.0,0.0,0,0.0,1.0,1,0,0,0,0,0,1,0
10,0,0,1,1,3.713572066704308,1,0,1681.0,1,1.6094379124341003,11.296544123292723,283.8006518667637,1,6487144242.696099,1.0,0,1,0,0,0,0,1,0
11,1,0,0,1,3.4657359027997265,0,0,1024.0,1,1.3862943611198906,0.0,0.0,0,0.0,1.0,0,0,1,0,1,0,0,0
12,0,0,0,1,3.6635616461296463,1,0,1521.0,1,2.1972245773362196,0.0,0.0,0,0.0,1.0,1,0,0,0,0,1,0,0
13,1,0,0,1,3.6109179126442243,0,0,1369.0,1,1.6094379124341003,10.888803848696153,231.45880843035548,0,2870085615.3124,1.0,1,0,0,0,0,1,0,0
14,1,0,0,1,3.784189633918261,1,0,1936.0,1,0.0,11.177421819113494,267.3907066447897,0,5111933974.884099,1.0,0,1,0,0,0,0,1,0
15,1,0,1,1,3.713572066704308,1,0,1681.0,1,0.0,11.547911937905946,321.8082814347698,1,10724791658.724901,1.0,0,1,0,0,0,0,1,0
16,1,0,1,1,3.6109179126442243,0,0,1369.0,1,1.6094379124341003,11.478881075507509,310.89043085949106,1,9341775346.1796,1.0,1,0,0,0,0,1,0,0
17,0,0,1,1,3.784189633918261,1,0,1936.0,1,2.1972245773362196,11.873330931847363,378.67013349351964,1,20560998955.744904,1.0,0,1,0,0,0,0,1,0
18,0,0,0,1,3.2188758248682006,0,0,625.0,1,1.6094379124341003,0.0,0.0,0,0.0,1.0,1,0,0,1,0,0,0,0
19,0,1,0,1,3.58351893845611,0,0,1296.0,1,0.0,0.0,0.0,0,0.0,1.0,0,0,1,0,0,1,0,0
20,1,0,0,1,3.4965075614664802,0,0,1089.0,1,1.791759469228055,11.835398670802531,371.5559042728295,1,19058848933.3641,1.0,1,0,0,0,1,0,0,0
21,1,1,1,1,3.7376696182833684,1,0,1764.0,1,1.6094379124341003,0.0,0.0,0,0.0,1.0,0,0,1,0,0,0,1,0
22,0,1,1,1,3.871201010907891,1,1,2304.0,1,1.6094379124341003,11.770570457323844,359.7053516421461,1,16741239017.4436,1.0,1,0,0,0,0,0,0,1
23,1,1,0,1,3.4965075614664802,0,0,1089.0,1,2.302585092994046,11.111681485350674,258.7444105676488,0,4482124414.7689,1.0,0,0,1,0,1,0,0,0
24,1,1,0,1,3.4657359027997265,0,0,1024.0,1,0.0,11.836248051226233,371.71373394051506,1,19091252875.210003,1.0,0,1,0,0,1,0,0,0
25,0,0,0,1,3.8066624897703196,1,1,2025.0,1,0.6931471805599453,0.0,0.0,0,0.0,1.0,1,0,0,0,0,0,1,0
26,1,0,1,1,3.1780538303479458,0,0,576.0,1,0.6931471805599453,0.0,0.0,0,0.0,1.0,0,0,1,1,0,0,0,0
27,0,1,1,1,3.4965075614664802,0,0,1089.0,1,1.3862943611198906,11.385624678884273,296.726945186985,1,7752253077.734401,1.0,0,1,0,0,1,0,0,0
28,0,0,0,1,3.784189633918261,1,0,1936.0,1,2.1972245773362196,0.0,0.0,0,0.0,1.0,0,0,1,0,0,0,1,0
29,1,0,1,1,3.4011973816621555,0,0,900.0,1,1.3862943611198906,11.83393091948985,371.2833284703206,1,19002983668.7161,1.0,1,0,0,1,0,0,0,0
30,0,0,0,1,3.1354942159291497,0,0,529.0,1,2.302585092994046,0.0,0.0,0,0.0,1.0,0,0,1,1,0,0,0,0
31,0,1,0,1,4.007333185232471,1,1,3025.0,1,2.0794415416798357,11.95156161355128,393.7754436223772,1,24043324492.81,1.0,0,1,0,0,0,0,0,1
32,1,0,0,1,3.713572066704308,1,0,1681.0,1,2.302585092994046,0.0,0.0,0,0.0,1.0,1,0,0,0,0,0,1,0
33,0,1,0,1,4.189654742026425,1,1,4356.0,1,2.0794415416798357,0.0,0.0,0,0.0,1.0,0,0,1,0,0,0,0,1
34,1,0,1,1,3.8066624897703196,1,1,2025.0,1,1.3862943611198906,0.0,0.0,0,0.0,1.0,1,0,0,0,0,0,1,0
35,1,1,0,1,3.58351893845611,0,0,1296.0,1,0.6931471805599453,11.598312389918464,330.0209690307572,1,11862224543.545599,1.0,0,1,0,0,0,1,0,0
36,0,1,0,1,3.9318256327243257,1,1,2601.0,1,1.0986122886681098,11.335463919167582,289.37746975187963,1,7012273714.062401,1.0,0,0,1,0,0,0,0,1
37,0,1,0,1,3.332204510175204,0,0,784.0,1,2.0794415416798357,11.775226342813445,360.54370054127975,1,16897857667.897598,1.0,1,0,0,1,0,0,0,0
38,0,1,0,1,2.995732273553991,0,0,400.0,1,2.1972245773362196,11.812099253987055,367.25250169331724,1,18191103775.359997,1.0,0,1,0,1,0,0,0,0
39,1,0,0,1,3.713572066704308,1,0,1681.0,1,1.0986122886681098,11.39182991147955,297.64900470184676,1,7849061621.704899,1.0,0,1,0,0,0,0,1,0
40,0,0,0,1,3.6635616461296463,1,0,1521.0,1,1.0986122886681098,11.833685770263735,371.2378213490646,1,18993668818.950397,1.0,1,0,0,0,0,1,0,0
41,0,1,0,1,3.6635616461296463,1,0,1521.0,1,1.9459101490553132,12.029079587040258,409.33741583197593,1,28075388462.694397,1.0,0,0,1,0,0,1,0,0
42,1,0,1,1,3.828641396489095,1,1,2116.0,1,1.9459101490553132,11.860305989298974,376.212067855352,1,20032303421.6704,1.0,0,1,0,0,0,0,1,0
43,0,0,0,1,3.4965075614664802,0,0,1089.0,1,1.0986122886681098,0.0,0.0,0,0.0,1.0,0,0,1,0,1,0,0,0
44,1,1,1,1,3.5263605246161616,0,0,1156.0,1,1.791759469228055,11.57528918544228,326.24368193116015,1,11328396452.8036,1.0,0,1,0,0,1,0,0,0
45,1,1,0,1,3.295836866004329,0,0,729.0,1,2.0794415416798357,11.100465348737568,257.2974154553442,0,4382699507.8416,1.0,1,0,0,1,0,0,0,0
46,0,0,0,1,3.5553480614894135,0,0,1225.0,1,0.0,11.685989469218033,344.8104116757497,1,14135835549.4084,1.0,1,0,0,0,1,0,0,0
47,0,1,0,1,3.6888794541139363,1,0,1600.0,1,1.3862943611198906,0.0,0.0,0,0.0,1.0,0,0,1,0,0,1,0,0
48,0,1,0,1,3.4657359027997265,0,0,1024.0,1,1.0986122886681098,11.538886833325112,320.3593763260255,1,10532943583.8169,1.0,0,1,0,0,1,0,0,0
